year,month,max_temperature,min_temperature
2015,January,20.32,14.87
2015,February,21.25,16.64
2015,March,23.68,19.32
2015,April,27.03,21.67
2015,May,30.9,26.52
2015,June,33.4,28.4
2015,July,32.61,27.74
2015,August,33.13,27.68
2015,September,32.1,27.13
2015,October,29.29,24.58
2015,November,27.5,22.63
2015,December,21.16,16.55
2016,January,18.45,14.52
2016,February,18.41,13.17
2016,March,21.48,16.26
2016,April,27.77,22.53
2016,May,30.48,25.68
2016,June,33.03,28.1
2016,July,33.61,28.26
2016,August,32.19,27.13
2016,September,31.47,26.77
2016,October,30.16,25.45
2016,November,25.6,20.37
2016,December,22.87,17.84
2017,January,21.6,17.23
2017,February,20.68,15.04
2017,March,23.06,18
2017,April,26.7,21.47
2017,May,29.32,24.58
2017,June,32.23,27.8
2017,July,32.61,27.42
2017,August,33.19,27.81
2017,September,32.97,27.57
2017,October,30.57,25.36
